transaction_id,merchant_id,order_id,payment_id,payment_status,payment_amount,payment_currency,payment_timestamp,settlement_id,settlement_amount,settlement_currency,settlement_timestamp,fee_id,fee_amount,fee_type,tax_amount,refund_id,refund_amount,refund_status,adjustment_id,adjustment_amount,scenario_type,ground_truth
TXN_000011,MER_006,ORD_000011,PAY_000011,SUCCESS,75774.00,INR,2026-02-05T09:07:00,SET_000011,74258.52,INR,2026-02-08T09:07:00,FEE_000011,1515.48,PROCESSING_FEE,0.00,,0.00,,ADJ_000011,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000012,MER_004,ORD_000012,PAY_000012,SUCCESS,38030.00,INR,2026-06-29T17:29:00,SET_000012,38030.00,INR,2026-06-30T17:29:00,,0.00,,0.00,,0.00,,ADJ_000012,0.00,NORMAL,NORMAL
TXN_000013,MER_002,ORD_000013,PAY_000013,SUCCESS,49923.00,INR,2026-02-20T23:29:00,SET_000013,49923.00,INR,2026-02-22T23:29:00,,0.00,,0.00,REF_000013,9984.60,PROCESSED,ADJ_000013,0.00,UNSUPPORTED_REFUND,UNSUPPORTED_REFUND
TXN_000014,MER_006,ORD_000014,PAY_000014,SUCCESS,21419.00,INR,2026-03-09T18:20:00,SET_000014,16064.25,INR,2026-03-11T18:20:00,,0.00,,0.00,REF_000014,5354.75,PROCESSED,ADJ_000014,0.00,RECONCILED_PARTIAL,RECONCILED_PARTIAL
TXN_000015,MER_005,ORD_000015,PAY_000015,SUCCESS,92088.00,INR,2026-06-20T21:18:00,SET_000015,90246.24,INR,2026-06-23T21:18:00,FEE_000015,1841.76,PROCESSING_FEE,0.00,,0.00,,ADJ_000015,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000016,MER_003,ORD_000016,PAY_000016,SUCCESS,70110.00,INR,2026-05-14T02:36:00,SET_000016,52582.50,INR,2026-05-15T02:36:00,,0.00,,0.00,REF_000016,17527.50,PROCESSED,ADJ_000016,0.00,RECONCILED_PARTIAL,RECONCILED_PARTIAL
TXN_000017,MER_007,ORD_000017,PAY_000017,SUCCESS,35482.00,INR,2026-06-18T20:05:00,SET_000017,35482.00,INR,2026-06-21T20:05:00,,0.00,,0.00,,0.00,,ADJ_000017,0.00,NORMAL,NORMAL
TXN_000018,MER_004,ORD_000018,PAY_000018,SUCCESS,89833.00,INR,2026-03-01T09:48:00,,0.00,INR,,,0.00,,0.00,,0.00,,ADJ_000018,0.00,MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN_000019,MER_001,ORD_000019,PAY_000019,SUCCESS,41447.00,INR,2026-03-15T09:42:00,SET_000019,40618.06,INR,2026-03-17T09:42:00,FEE_000019,828.94,PROCESSING_FEE,0.00,,0.00,,ADJ_000019,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000020,MER_006,ORD_000020,PAY_000020,SUCCESS,27969.00,INR,2026-04-30T16:39:00,SET_000020,27969.00,INR,2026-05-02T16:39:00,,0.00,,0.00,,0.00,,ADJ_000020,0.00,NORMAL,NORMAL
TXN_000021,MER_008,ORD_000021,PAY_000021,SUCCESS,18826.00,INR,2026-02-18T14:16:00,SET_000021,14119.50,INR,2026-02-19T14:16:00,,0.00,,0.00,REF_000021,4706.50,PROCESSED,ADJ_000021,0.00,RECONCILED_REFUND,RECONCILED_REFUND
TXN_000022,MER_005,ORD_000022,PAY_000022,SUCCESS,98012.00,INR,2026-04-17T19:05:00,SET_000022,96051.76,INR,2026-04-19T19:05:00,FEE_000022,1960.24,PROCESSING_FEE,0.00,,0.00,,ADJ_000022,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000023,MER_007,ORD_000023,PAY_000023,SUCCESS,47547.00,INR,2026-02-10T07:13:00,SET_000023,47547.00,INR,2026-02-11T07:13:00,,0.00,,0.00,,0.00,,ADJ_000023,0.00,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT
TXN_000024,MER_002,ORD_000024,PAY_000024,SUCCESS,99161.00,INR,2026-01-09T22:51:00,SET_000024,99161.00,INR,2026-01-10T22:51:00,,0.00,,0.00,,0.00,,ADJ_000024,0.00,DUPLICATE_PAYMENT_ATTEMPT,DUPLICATE_PAYMENT_ATTEMPT
TXN_000025,MER_003,ORD_000025,PAY_000025,SUCCESS,89292.00,INR,2026-03-19T05:26:00,SET_000025,89292.00,INR,2026-03-22T05:26:00,,0.00,,0.00,,0.00,,ADJ_000025,0.00,NORMAL,NORMAL
TXN_000026,MER_007,ORD_000026,PAY_000026,SUCCESS,78204.00,INR,2026-03-27T13:56:00,SET_000026,78204.00,INR,2026-03-30T13:56:00,,0.00,,0.00,,0.00,,ADJ_000026,0.00,NORMAL,NORMAL
TXN_000027,MER_001,ORD_000027,PAY_000027,SUCCESS,89266.00,INR,2026-05-12T13:52:00,SET_000027,87480.68,INR,2026-05-13T13:52:00,FEE_000027,1785.32,PROCESSING_FEE,0.00,,0.00,,ADJ_000027,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000028,MER_005,ORD_000028,PAY_000028,SUCCESS,84112.00,INR,2026-03-04T07:14:00,,0.00,INR,,,0.00,,0.00,,0.00,,ADJ_000028,0.00,MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN_000029,MER_003,ORD_000029,PAY_000029,SUCCESS,59570.00,INR,2026-01-01T23:10:00,SET_000029,58378.60,INR,2026-01-04T23:10:00,FEE_000029,1191.40,PROCESSING_FEE,0.00,,0.00,,ADJ_000029,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000030,MER_005,ORD_000030,PAY_000030,SUCCESS,65712.00,INR,2026-05-20T02:03:00,SET_000030,65712.00,INR,2026-05-21T02:03:00,,0.00,,0.00,,0.00,,ADJ_000030,0.00,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT
TXN_000031,MER_002,ORD_000031,PAY_000031,SUCCESS,82059.00,INR,2026-02-24T16:55:00,SET_000031,82059.00,INR,2026-02-27T16:55:00,,0.00,,0.00,,0.00,,ADJ_000031,0.00,DUPLICATE_PAYMENT_ATTEMPT,DUPLICATE_PAYMENT_ATTEMPT
TXN_000032,MER_004,ORD_000032,PAY_000032,SUCCESS,20132.00,INR,2026-03-10T10:39:00,SET_000032,20132.00,INR,2026-03-11T10:39:00,,0.00,,0.00,,0.00,,ADJ_000032,0.00,DUPLICATE_PAYMENT_ATTEMPT,DUPLICATE_PAYMENT_ATTEMPT
TXN_000033,MER_001,ORD_000033,PAY_000033,SUCCESS,78604.00,INR,2026-03-01T09:15:00,SET_000033,78604.00,INR,2026-03-03T09:15:00,,0.00,,0.00,,0.00,,ADJ_000033,0.00,DUPLICATE_PAYMENT_ATTEMPT,DUPLICATE_PAYMENT_ATTEMPT
TXN_000034,MER_006,ORD_000034,PAY_000034,SUCCESS,40406.00,INR,2026-02-13T23:10:00,SET_000034,40406.00,INR,2026-02-14T23:10:00,,0.00,,0.00,,0.00,,ADJ_000034,0.00,NORMAL,NORMAL
TXN_000035,MER_002,ORD_000035,PAY_000035,SUCCESS,11326.00,INR,2026-05-14T14:45:00,SET_000035,11099.48,INR,2026-05-16T14:45:00,FEE_000035,226.52,PROCESSING_FEE,0.00,,0.00,,ADJ_000035,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000036,MER_003,ORD_000036,PAY_000036,SUCCESS,16928.00,INR,2026-05-01T11:29:00,SET_000036,16081.60,INR,2026-05-03T11:29:00,,0.00,,0.00,,0.00,,ADJ_000036,0.00,UNEXPLAINED_DISCREPANCY,UNEXPLAINED_DISCREPANCY
TXN_000037,MER_003,ORD_000037,PAY_000037,SUCCESS,34841.00,INR,2026-04-07T10:26:00,SET_000037,0.00,INR,2026-04-10T10:26:00,,0.00,,0.00,REF_000037,48777.40,PROCESSED,ADJ_000037,0.00,INVALID_REFUND,INVALID_REFUND
TXN_000038,MER_004,ORD_000038,PAY_000038,SUCCESS,70786.00,INR,2026-05-18T20:48:00,SET_000038,53089.50,INR,2026-05-21T20:48:00,,0.00,,0.00,REF_000038,17696.50,PROCESSED,ADJ_000038,0.00,RECONCILED_REFUND,RECONCILED_REFUND
TXN_000039,MER_005,ORD_000039,PAY_000039,SUCCESS,52396.00,INR,2026-05-03T15:38:00,,0.00,INR,,,0.00,,0.00,,0.00,,ADJ_000039,0.00,MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN_000040,MER_008,ORD_000040,PAY_000040,SUCCESS,15960.00,INR,2026-02-15T12:06:00,SET_000040,11970.00,INR,2026-02-16T12:06:00,,0.00,,0.00,REF_000040,3990.00,PROCESSED,ADJ_000040,0.00,RECONCILED_REFUND,RECONCILED_REFUND
TXN_000041,MER_001,ORD_000041,PAY_000041,SUCCESS,77210.00,INR,2026-04-12T05:07:00,SET_000041,77210.00,INR,2026-04-13T05:07:00,,0.00,,0.00,,0.00,,ADJ_000041,0.00,NORMAL,NORMAL
TXN_000042,MER_001,ORD_000042,PAY_000042,SUCCESS,9405.00,INR,2026-05-10T05:36:00,SET_000042,9405.00,INR,2026-05-15T05:36:00,,0.00,,0.00,,0.00,,ADJ_000042,0.00,SETTLEMENT_DELAY,SETTLEMENT_DELAY
TXN_000043,MER_002,ORD_000043,PAY_000043,SUCCESS,4217.00,INR,2026-06-06T20:48:00,SET_000043,4217.00,INR,2026-06-08T20:48:00,,0.00,,0.00,,0.00,,ADJ_000043,0.00,NORMAL,NORMAL
TXN_000044,MER_004,ORD_000044,PAY_000044,SUCCESS,36600.00,INR,2026-05-03T03:48:00,SET_000044,36600.00,INR,2026-05-05T03:48:00,,0.00,,0.00,,0.00,,ADJ_000044,0.00,NORMAL,NORMAL
TXN_000045,MER_003,ORD_000045,PAY_000045,SUCCESS,94911.00,INR,2026-06-20T16:19:00,SET_000045,93012.78,INR,2026-06-23T16:19:00,FEE_000045,1898.22,PROCESSING_FEE,0.00,,0.00,,ADJ_000045,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000046,MER_004,ORD_000046,PAY_000046,SUCCESS,62093.00,INR,2026-05-28T09:00:00,SET_000046,62093.00,INR,2026-06-02T09:00:00,,0.00,,0.00,,0.00,,ADJ_000046,0.00,SETTLEMENT_DELAY,SETTLEMENT_DELAY
TXN_000047,MER_002,ORD_000047,PAY_000047,SUCCESS,86474.00,INR,2026-03-20T20:17:00,SET_000047,86474.00,INR,2026-03-22T20:17:00,,0.00,,0.00,,0.00,,ADJ_000047,0.00,NORMAL,NORMAL
TXN_000048,MER_008,ORD_000048,PAY_000048,SUCCESS,95661.00,INR,2026-01-11T05:40:00,SET_000048,71745.75,INR,2026-01-14T05:40:00,,0.00,,0.00,REF_000048,23915.25,PROCESSED,ADJ_000048,0.00,RECONCILED_REFUND,RECONCILED_REFUND
TXN_000049,MER_002,ORD_000049,PAY_000049,SUCCESS,8044.00,INR,2026-03-15T16:04:00,SET_000049,6033.00,INR,2026-03-18T16:04:00,,0.00,,0.00,REF_000049,2011.00,PROCESSED,ADJ_000049,0.00,RECONCILED_PARTIAL,RECONCILED_PARTIAL
TXN_000050,MER_002,ORD_000050,PAY_000050,SUCCESS,32691.00,INR,2026-02-05T06:04:00,SET_000050,31919.49,INR,2026-02-06T06:04:00,FEE_000050,653.82,PROCESSING_FEE,117.69,,0.00,,ADJ_000050,0.00,RECONCILED_TAX,RECONCILED_TAX
TXN_000051,MER_003,ORD_000051,PAY_000051,SUCCESS,55396.00,INR,2026-02-03T18:40:00,SET_000051,55396.00,INR,2026-02-05T18:40:00,,0.00,,0.00,,0.00,,ADJ_000051,0.00,DUPLICATE_PAYMENT_ATTEMPT,DUPLICATE_PAYMENT_ATTEMPT
TXN_000052,MER_002,ORD_000052,PAY_000052,FAILED,58182.00,INR,2026-05-28T11:18:00,SET_000052,0.00,INR,2026-05-31T11:18:00,,0.00,,0.00,,0.00,,ADJ_000052,0.00,PAYMENT_FAILED,PAYMENT_FAILED
TXN_000053,MER_001,ORD_000053,PAY_000053,SUCCESS,12324.00,INR,2026-06-19T00:21:00,SET_000053,12324.00,INR,2026-06-20T00:21:00,,0.00,,0.00,,0.00,,ADJ_000053,0.00,NORMAL,NORMAL
TXN_000054,MER_008,ORD_000054,PAY_000054,SUCCESS,63192.00,INR,2026-02-09T06:52:00,SET_000054,63192.00,INR,2026-02-11T06:52:00,,0.00,,0.00,,0.00,,ADJ_000054,0.00,NORMAL,NORMAL
TXN_000055,MER_003,ORD_000055,PAY_000055,SUCCESS,49772.00,INR,2026-01-01T18:25:00,SET_000055,49772.00,INR,2026-01-03T18:25:00,,0.00,,0.00,,0.00,,ADJ_000055,0.00,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT
TXN_000056,MER_008,ORD_000056,PAY_000056,SUCCESS,37488.00,INR,2026-03-19T09:08:00,SET_000056,36738.24,INR,2026-03-22T09:08:00,FEE_000056,749.76,PROCESSING_FEE,0.00,,0.00,,ADJ_000056,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000057,MER_008,ORD_000057,PAY_000057,SUCCESS,20389.00,INR,2026-02-04T22:40:00,SET_000057,0.00,INR,2026-02-06T22:40:00,,0.00,,0.00,REF_000057,28544.60,PROCESSED,ADJ_000057,0.00,INVALID_REFUND,INVALID_REFUND
TXN_000058,MER_001,ORD_000058,PAY_000058,SUCCESS,76014.00,INR,2026-05-15T07:29:00,SET_000058,74493.72,INR,2026-05-18T07:29:00,FEE_000058,1520.28,PROCESSING_FEE,0.00,,0.00,,ADJ_000058,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000059,MER_006,ORD_000059,PAY_000059,SUCCESS,7592.00,INR,2026-01-10T12:04:00,SET_000059,7592.00,INR,2026-01-13T12:04:00,,0.00,,0.00,,0.00,,ADJ_000059,0.00,NORMAL,NORMAL
TXN_000060,MER_003,ORD_000060,PAY_000060,FAILED,7555.00,INR,2026-06-25T06:42:00,SET_000060,0.00,INR,2026-06-28T06:42:00,,0.00,,0.00,,0.00,,ADJ_000060,0.00,PAYMENT_FAILED,PAYMENT_FAILED
TXN_000061,MER_003,ORD_000061,PAY_000061,SUCCESS,9081.00,INR,2026-04-19T16:44:00,SET_000061,9081.00,INR,2026-04-20T16:44:00,,0.00,,0.00,,0.00,,ADJ_000061,0.00,NORMAL,NORMAL
TXN_000062,MER_004,ORD_000062,PAY_000062,SUCCESS,53023.00,INR,2026-01-23T04:47:00,SET_000062,39767.25,INR,2026-01-26T04:47:00,,0.00,,0.00,REF_000062,13255.75,PROCESSED,ADJ_000062,0.00,RECONCILED_PARTIAL,RECONCILED_PARTIAL
TXN_000063,MER_001,ORD_000063,PAY_000063,SUCCESS,81283.00,INR,2026-01-16T07:11:00,SET_000063,79657.34,INR,2026-01-18T07:11:00,FEE_000063,1625.66,PROCESSING_FEE,0.00,,0.00,,ADJ_000063,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000064,MER_006,ORD_000064,PAY_000064,SUCCESS,34279.00,INR,2026-02-07T13:25:00,SET_000064,25709.25,INR,2026-02-10T13:25:00,,0.00,,0.00,REF_000064,8569.75,PROCESSED,ADJ_000064,0.00,RECONCILED_PARTIAL,RECONCILED_PARTIAL
TXN_000065,MER_004,ORD_000065,PAY_000065,SUCCESS,34914.00,INR,2026-03-14T10:12:00,,0.00,INR,,,0.00,,0.00,,0.00,,ADJ_000065,0.00,MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN_000066,MER_005,ORD_000066,PAY_000066,SUCCESS,60029.00,INR,2026-02-27T22:23:00,SET_000066,45021.75,INR,2026-02-28T22:23:00,,0.00,,0.00,REF_000066,15007.25,PROCESSED,ADJ_000066,0.00,RECONCILED_PARTIAL,RECONCILED_PARTIAL
TXN_000067,MER_002,ORD_000067,PAY_000067,SUCCESS,9702.00,INR,2026-04-09T05:57:00,SET_000067,9702.00,INR,2026-04-10T05:57:00,,0.00,,0.00,,0.00,,ADJ_000067,0.00,NORMAL,NORMAL
TXN_000068,MER_003,ORD_000068,PAY_000068,SUCCESS,45845.00,INR,2026-06-10T17:33:00,SET_000068,45845.00,INR,2026-06-11T17:33:00,,0.00,,0.00,,0.00,,ADJ_000068,0.00,DUPLICATE_PAYMENT_ATTEMPT,DUPLICATE_PAYMENT_ATTEMPT
TXN_000069,MER_006,ORD_000069,PAY_000069,SUCCESS,37453.00,INR,2026-01-30T02:12:00,SET_000069,37453.00,INR,2026-02-01T02:12:00,,0.00,,0.00,,0.00,,ADJ_000069,0.00,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT
TXN_000070,MER_005,ORD_000070,PAY_000070,SUCCESS,80273.00,INR,2026-06-29T11:31:00,SET_000070,80273.00,INR,2026-07-02T11:31:00,,0.00,,0.00,REF_000070,16054.60,PROCESSED,ADJ_000070,0.00,UNSUPPORTED_REFUND,UNSUPPORTED_REFUND
TXN_000071,MER_005,ORD_000071,PAY_000071,SUCCESS,87051.00,INR,2026-01-20T05:34:00,SET_000071,87051.00,INR,2026-01-21T05:34:00,,0.00,,0.00,,0.00,,ADJ_000071,0.00,DUPLICATE_PAYMENT_ATTEMPT,DUPLICATE_PAYMENT_ATTEMPT
TXN_000072,MER_002,ORD_000072,PAY_000072,SUCCESS,97410.00,INR,2026-04-12T02:04:00,SET_000072,95461.80,INR,2026-04-13T02:04:00,FEE_000072,1948.20,PROCESSING_FEE,0.00,,0.00,,ADJ_000072,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000073,MER_004,ORD_000073,PAY_000073,SUCCESS,94158.00,INR,2026-03-04T19:04:00,SET_000073,92274.84,INR,2026-03-05T19:04:00,FEE_000073,1883.16,PROCESSING_FEE,0.00,,0.00,,ADJ_000073,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000074,MER_005,ORD_000074,PAY_000074,SUCCESS,66344.00,INR,2026-03-31T07:25:00,,0.00,INR,,,0.00,,0.00,,0.00,,ADJ_000074,0.00,MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN_000075,MER_001,ORD_000075,PAY_000075,SUCCESS,12197.00,INR,2026-04-26T20:13:00,SET_000075,12197.00,INR,2026-04-28T20:13:00,,0.00,,0.00,,0.00,,ADJ_000075,0.00,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT
TXN_000076,MER_001,ORD_000076,PAY_000076,SUCCESS,564.00,INR,2026-03-03T02:19:00,SET_000076,564.00,INR,2026-03-04T02:19:00,,0.00,,0.00,REF_000076,112.80,PROCESSED,ADJ_000076,0.00,UNSUPPORTED_REFUND,UNSUPPORTED_REFUND
TXN_000077,MER_005,ORD_000077,PAY_000077,SUCCESS,21278.00,INR,2026-05-16T07:29:00,SET_000077,15958.50,INR,2026-05-18T07:29:00,,0.00,,0.00,REF_000077,5319.50,PROCESSED,ADJ_000077,0.00,RECONCILED_PARTIAL,RECONCILED_PARTIAL
TXN_000078,MER_007,ORD_000078,PAY_000078,SUCCESS,73619.00,INR,2026-01-03T03:14:00,SET_000078,73619.00,INR,2026-01-04T03:14:00,,0.00,,0.00,,0.00,,ADJ_000078,0.00,DUPLICATE_PAYMENT_ATTEMPT,DUPLICATE_PAYMENT_ATTEMPT
TXN_000079,MER_003,ORD_000079,PAY_000079,SUCCESS,71611.00,INR,2026-01-07T22:24:00,SET_000079,71611.00,INR,2026-01-09T22:24:00,,0.00,,0.00,,0.00,,ADJ_000079,0.00,NORMAL,NORMAL
TXN_000080,MER_003,ORD_000080,PAY_000080,SUCCESS,56433.00,INR,2026-01-24T13:49:00,SET_000080,56433.00,INR,2026-01-29T13:49:00,,0.00,,0.00,,0.00,,ADJ_000080,0.00,SETTLEMENT_DELAY,SETTLEMENT_DELAY
TXN_000081,MER_001,ORD_000081,PAY_000081,SUCCESS,46998.00,INR,2026-02-08T14:50:00,SET_000081,45888.85,INR,2026-02-11T14:50:00,FEE_000081,939.96,PROCESSING_FEE,169.19,,0.00,,ADJ_000081,0.00,RECONCILED_TAX,RECONCILED_TAX
TXN_000082,MER_002,ORD_000082,PAY_000082,SUCCESS,46457.00,INR,2026-05-23T09:22:00,SET_000082,45527.86,INR,2026-05-26T09:22:00,FEE_000082,929.14,PROCESSING_FEE,0.00,,0.00,,ADJ_000082,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000083,MER_007,ORD_000083,PAY_000083,SUCCESS,81451.00,INR,2026-05-17T19:31:00,SET_000083,81451.00,INR,2026-05-18T19:31:00,,0.00,,0.00,,0.00,,ADJ_000083,0.00,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT
TXN_000084,MER_004,ORD_000084,PAY_000084,SUCCESS,21399.00,INR,2026-06-28T02:06:00,SET_000084,0.00,INR,2026-06-29T02:06:00,,0.00,,0.00,REF_000084,29958.60,PROCESSED,ADJ_000084,0.00,INVALID_REFUND,INVALID_REFUND
TXN_000085,MER_001,ORD_000085,PAY_000085,SUCCESS,23609.00,INR,2026-05-15T11:05:00,SET_000085,23609.00,INR,2026-05-17T11:05:00,,0.00,,0.00,,0.00,,ADJ_000085,0.00,DUPLICATE_SETTLEMENT,DUPLICATE_SETTLEMENT
TXN_000086,MER_007,ORD_000086,PAY_000086,SUCCESS,87906.00,INR,2026-06-07T16:09:00,SET_000086,83510.70,INR,2026-06-10T16:09:00,,0.00,,0.00,,0.00,,ADJ_000086,0.00,UNEXPLAINED_DISCREPANCY,UNEXPLAINED_DISCREPANCY
TXN_000087,MER_005,ORD_000087,PAY_000087,SUCCESS,20966.00,INR,2026-05-24T17:05:00,SET_000087,19917.70,INR,2026-05-27T17:05:00,,0.00,,0.00,,0.00,,ADJ_000087,0.00,UNEXPLAINED_DISCREPANCY,UNEXPLAINED_DISCREPANCY
TXN_000088,MER_001,ORD_000088,PAY_000088,SUCCESS,61794.00,INR,2026-02-10T20:49:00,SET_000088,61794.00,INR,2026-02-11T20:49:00,,0.00,,0.00,,0.00,,ADJ_000088,0.00,NORMAL,NORMAL
TXN_000089,MER_008,ORD_000089,PAY_000089,SUCCESS,45930.00,INR,2026-02-25T22:23:00,SET_000089,43633.50,INR,2026-02-26T22:23:00,,0.00,,0.00,,0.00,,ADJ_000089,0.00,UNEXPLAINED_DISCREPANCY,UNEXPLAINED_DISCREPANCY
TXN_000090,MER_004,ORD_000090,PAY_000090,SUCCESS,52327.00,INR,2026-03-02T03:11:00,SET_000090,51280.46,INR,2026-03-04T03:11:00,FEE_000090,1046.54,PROCESSING_FEE,0.00,,0.00,,ADJ_000090,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000091,MER_005,ORD_000091,PAY_000091,SUCCESS,46125.00,INR,2026-04-28T03:40:00,SET_000091,46125.00,INR,2026-05-01T03:40:00,,0.00,,0.00,REF_000091,9225.00,PROCESSED,ADJ_000091,0.00,UNSUPPORTED_REFUND,UNSUPPORTED_REFUND
TXN_000092,MER_006,ORD_000092,PAY_000092,SUCCESS,3717.00,INR,2026-01-22T08:56:00,SET_000092,2787.75,INR,2026-01-24T08:56:00,,0.00,,0.00,REF_000092,929.25,PROCESSED,ADJ_000092,0.00,RECONCILED_REFUND,RECONCILED_REFUND
TXN_000093,MER_005,ORD_000093,PAY_000093,SUCCESS,5114.00,INR,2026-01-21T02:37:00,SET_000093,5114.00,INR,2026-01-24T02:37:00,,0.00,,0.00,,0.00,,ADJ_000093,0.00,NORMAL,NORMAL
TXN_000094,MER_006,ORD_000094,PAY_000094,SUCCESS,57299.00,INR,2026-04-21T17:34:00,SET_000094,42974.25,INR,2026-04-24T17:34:00,,0.00,,0.00,REF_000094,14324.75,PROCESSED,ADJ_000094,0.00,RECONCILED_REFUND,RECONCILED_REFUND
TXN_000095,MER_004,ORD_000095,PAY_000095,SUCCESS,33486.00,INR,2026-01-09T10:55:00,SET_000095,33486.00,INR,2026-01-12T10:55:00,,0.00,,0.00,,0.00,,ADJ_000095,0.00,NORMAL,NORMAL
TXN_000096,MER_004,ORD_000096,PAY_000096,SUCCESS,47839.00,INR,2026-03-20T21:22:00,SET_000096,35879.25,INR,2026-03-21T21:22:00,,0.00,,0.00,REF_000096,11959.75,PROCESSED,ADJ_000096,0.00,RECONCILED_REFUND,RECONCILED_REFUND
TXN_000097,MER_006,ORD_000097,PAY_000097,SUCCESS,81778.00,INR,2026-02-27T12:31:00,SET_000097,0.00,INR,2026-03-02T12:31:00,,0.00,,0.00,REF_000097,114489.20,PROCESSED,ADJ_000097,0.00,INVALID_REFUND,INVALID_REFUND
TXN_000098,MER_005,ORD_000098,PAY_000098,SUCCESS,66569.00,INR,2026-02-26T16:17:00,SET_000098,66569.00,INR,2026-03-01T16:17:00,,0.00,,0.00,REF_000098,13313.80,PROCESSED,ADJ_000098,0.00,UNSUPPORTED_REFUND,UNSUPPORTED_REFUND
